Text,Rating value,Visitor ID
Et possimus omnis ut explicabo nesciunt quisquam occaecati tempora voluptas.,5,397
Atque esse est aut rerum.,1,422
Voluptates incidunt et architecto eos incidunt.,4,378
Consectetur quaerat doloribus voluptas et minus et.,0,450
Totam aut tempore dolorum nostrum amet.,1,269
Quasi rem fugiat placeat est.,2,108
Et eligendi ut totam est et.,2,77
Quaerat ea error recusandae ipsum rem dolor sint commodi.,5,302
Velit aut saepe quia quos.,1,832
Voluptatem natus ut id dolorum blanditiis ducimus ut consequatur deserunt.,3,25
Alias cumque ipsa sed quis nemo nemo quibusdam mollitia.,1,353
Sequi deserunt aut.,4,336
Laboriosam consequuntur autem neque nihil ut consequatur velit.,1,249
Quo numquam provident repellendus voluptatem odio.,4,27
Odit et corrupti ratione omnis dolores suscipit qui.,1,755
Ea in sed sed nulla quis.,0,89
Maiores quis quia ab et voluptas est.,4,943
Praesentium perspiciatis optio.,1,779
Iste placeat fugit ad atque odio inventore.,3,747
Et deleniti impedit et ipsam odit.,0,453
Eos nulla et commodi architecto quia laudantium saepe.,4,895
Qui ut est.,2,498
Eveniet et voluptatem omnis quisquam et.,4,716
Perferendis doloremque tenetur voluptatem ratione.,5,180
Quibusdam dolores minima dolorem est sequi quidem placeat fugit amet.,0,730
Cum recusandae quia.,5,924
Dolor quod atque sed qui voluptates sint fuga.,0,338
Sapiente et beatae eveniet ipsa est perferendis.,5,428
Voluptatem quam quibusdam distinctio.,0,761
Reprehenderit dignissimos architecto natus quod ad quas.,1,661
Non ullam ut.,5,112
Dolorum tempore ipsa quod est doloremque.,1,685
Ut fugiat explicabo delectus voluptate.,2,831
Voluptatem tempore cumque quam recusandae.,2,361
Deserunt minus exercitationem dolorem vitae inventore totam.,1,775
Voluptas distinctio cumque corrupti consequatur enim doloremque.,3,51
Similique qui voluptatem id dolores amet.,3,332
A similique deserunt.,1,108
Velit repellendus et.,3,678
Officiis consequatur sunt quia eligendi.,1,717
Aspernatur sunt inventore vero architecto.,2,839
Nisi maiores harum ea necessitatibus minus eligendi pariatur tenetur aut.,0,817
At assumenda ex qui qui dolorem odit autem.,1,568
Nam veniam excepturi.,0,954
Est ut esse occaecati distinctio magni reprehenderit quisquam beatae.,0,761
Tempore consequuntur non quia tempora voluptatum perspiciatis ut nulla molestiae.,3,833
Et et laboriosam ut quia qui consequatur ab iste mollitia.,0,502
Voluptates minus enim dolorem repudiandae occaecati consequatur rerum.,2,82
Facilis blanditiis et.,5,766
Aut officia eligendi assumenda aut.,4,990
Repudiandae officiis vitae.,0,394
Recusandae accusantium ut nihil voluptas atque ea debitis sapiente.,1,654
Commodi non id minus.,3,879
Doloremque est modi similique quia iure nobis esse.,3,204
Vel sunt eum harum eum rerum.,0,332
Delectus laudantium error vel est dolorem hic quia id.,0,832
Dignissimos aut qui consectetur excepturi et et.,2,984
Cupiditate sed et non ut in.,5,643
Architecto natus voluptas error molestias voluptas.,1,714
Et dolore repudiandae omnis harum exercitationem non magni.,0,736
Autem non debitis fuga at quia hic doloremque.,1,278
Quia esse doloremque error iure eius.,2,844
Fugiat deleniti ut earum consectetur.,4,16
Est aut eligendi quis dolor.,1,280
Aperiam eum voluptatem aliquam.,0,971
Rem quidem praesentium voluptates aut quidem qui ut.,5,325
Sunt enim non ipsum tenetur ut id aut assumenda et.,4,862
Numquam qui illo consectetur quo autem voluptatum voluptas.,5,244
Expedita quasi ratione sit sunt dolorum itaque repudiandae iste.,0,288
Odio quia nisi qui aut quae sunt.,2,62
Perspiciatis dicta nisi voluptas ratione labore mollitia numquam.,2,520
Maiores sit sint qui voluptatem ullam quasi iure.,3,117
Atque eius rem doloribus consequuntur aut dolores eum excepturi sit.,5,160
Enim id vel sed vero ipsum.,0,800
Necessitatibus sit aut ad ut sunt.,4,448
Harum libero consequuntur.,5,184
Qui quo et debitis culpa quia quia exercitationem reprehenderit voluptas.,2,41
Sit nesciunt ullam.,5,32
Et eos reiciendis perspiciatis voluptas velit necessitatibus.,5,648
Voluptate aliquam doloremque autem commodi voluptatem doloribus.,5,288
Non ad omnis magni.,3,624
Omnis qui aut odit a qui et a officia voluptatem.,2,129
Soluta id eaque tempora sit aliquam consequuntur dolore nihil.,3,611
Ratione qui voluptate quaerat quia velit.,4,95
Dignissimos qui voluptatem vel deleniti aut.,4,436
Quod molestias numquam ad iure.,2,720
Dolor voluptatum voluptatum occaecati molestiae aut.,3,493
Laborum quas adipisci dolor maxime molestiae.,2,640
Reprehenderit ut hic quis.,3,347
Pariatur et rem ex.,1,243
Dolor quas dolores eum voluptates non facere.,4,686
Similique aspernatur rem distinctio et.,5,1000
Ratione itaque deserunt in expedita.,4,270
Et laudantium reiciendis eveniet soluta eveniet suscipit dolore ut itaque.,0,234
Eum qui earum alias molestias magnam.,2,362
Et labore voluptatum quibusdam fuga.,4,687
In fugit laudantium eligendi nam.,4,336
Repellat ullam recusandae dignissimos assumenda.,5,323
Perferendis eos aut facere quia et quam voluptatem corporis est.,5,926
Excepturi ipsam laudantium delectus consequatur velit.,5,730
Corporis hic magnam est molestiae eos odit dolorem.,1,276
Doloremque aut minima odio quae numquam corporis non vel porro.,2,813
Enim ipsum consequuntur deserunt magnam sed placeat.,2,142
Fuga consequatur error sunt provident sed rerum.,1,539
Modi voluptatibus sint sit atque earum.,3,550
Voluptas quia corrupti eaque doloremque in ea.,0,167
Blanditiis inventore libero eligendi ullam fugit enim.,1,885
Repellat officia rerum est rem aliquid.,2,426
Pariatur et libero veritatis sint.,5,680
Consequatur molestiae non ut.,3,760
Cupiditate voluptatem non et nam et.,3,808
Laboriosam rerum rerum omnis aut culpa eos veniam aliquam.,4,54
A ea tenetur voluptas explicabo aspernatur voluptas harum.,3,301
Debitis dolorem et quae repudiandae vel.,5,543
Est sed voluptatibus pariatur veritatis tempore vero.,0,771
Quis sed unde.,2,976
Saepe voluptatum facere.,2,516
Qui voluptatum eos nam nam at sit modi atque labore.,2,664
Nostrum quasi molestias et quia quas.,4,745
Nihil officiis distinctio atque autem et.,5,983
Veniam temporibus et occaecati vero nulla et.,2,27
Cum velit et dolor nisi et.,0,281
Alias aut sit incidunt fugiat qui repudiandae totam velit.,4,262
Consequatur accusamus natus fugit.,4,381
Aliquam blanditiis omnis at ut qui consequatur magnam excepturi tenetur.,4,273
Placeat non optio est vero et distinctio.,1,465
Atque quae praesentium in saepe ducimus dignissimos.,1,548
Quidem nemo voluptatem eveniet modi aut dolor est amet et.,3,570
Ea blanditiis cupiditate ipsum soluta.,1,44
Ipsa hic nisi ipsa qui optio exercitationem aut.,3,798
Omnis consequuntur voluptate expedita dicta quam.,1,342
Dignissimos odit ea molestiae officia deserunt facilis iusto fugiat totam.,1,443
Fuga magnam quis.,2,541
Ipsam rerum eius rem.,5,524
Voluptas cupiditate qui.,1,38
Omnis quia blanditiis numquam dicta eveniet unde consequatur.,4,981
Saepe aut nihil soluta debitis.,4,384
Magnam voluptas sit laborum officiis.,4,709
Beatae id odit pariatur perferendis vitae ut.,4,589
Dolor est vel et voluptas.,4,298
Rerum animi repellat minima corrupti sit voluptate neque.,1,499
Aut veritatis id excepturi.,1,43
Unde fugiat provident molestiae reiciendis sit.,3,354
Magnam unde illo neque nemo omnis incidunt ut neque sed.,5,339
Et et nobis.,2,473
Distinctio qui nesciunt qui.,2,125
Nihil sint et reprehenderit nihil.,1,762
Cupiditate hic repudiandae unde voluptatum est rerum.,5,361
Soluta qui pariatur est deleniti asperiores sunt.,1,485
Aut ex sapiente deserunt tenetur.,2,132
Delectus incidunt labore aut iste veniam.,4,422
Quia ab praesentium.,1,874
Est quisquam eaque officiis.,0,530
Eum esse possimus et est aspernatur.,1,624
Vitae voluptas voluptatem vel veritatis non quis quia doloribus doloremque.,2,720
Consequatur laudantium omnis.,4,643
Harum et sed hic veritatis porro voluptatem incidunt quas iure.,3,205
Hic consectetur dolorum corrupti sed doloremque rerum repellendus.,2,480
Rerum molestias quis vel voluptas.,1,804
Inventore aperiam optio.,1,503
Accusamus ipsam ut magni soluta delectus blanditiis vero dolores quia.,3,569
Quia inventore a quia qui.,3,999
Quos officia dolores eveniet aspernatur maxime ratione reprehenderit ipsam.,3,105
Molestias aliquam animi at.,4,235
Omnis aut aut harum nostrum sint.,5,316
Officiis provident tempora laboriosam minus autem quia voluptate eum.,2,201
Et praesentium soluta cumque optio quibusdam ut.,1,509
Aut sapiente sit.,2,277
Quis voluptatibus accusamus.,5,316
Fugiat voluptatum fugiat cumque.,5,298
Cum sint quisquam dolorum tempore.,3,759
Et dolorem a iure.,1,917
Numquam iste animi.,2,92
Officia labore dolor minima ipsa.,2,129
Culpa omnis quasi molestiae aspernatur id.,4,239
Tempore molestiae eligendi.,3,986
Voluptatibus cum velit ipsa est.,4,729
Tenetur inventore illo reprehenderit voluptatum.,5,38
Explicabo autem perspiciatis at veritatis aut enim tenetur alias.,1,570
Voluptatem fugit ut at maiores molestiae mollitia consequatur qui ad.,4,985
Ipsum sapiente laboriosam ut quo in.,2,187
Itaque suscipit eos totam reprehenderit beatae quam rem.,5,236
Officia quo odit ea soluta quasi.,4,311
In non tempora sint est.,0,246
Maxime consequatur odio occaecati.,2,752
Dicta dolor enim vero ut dolorem sequi assumenda.,1,358
Corporis quia similique tempora dolorem ratione placeat ut repudiandae eos.,0,287
In deleniti ipsam.,4,224
Placeat beatae aut ipsum velit qui blanditiis.,0,832
Laborum aliquid sit et necessitatibus quidem suscipit autem tenetur.,2,475
Cupiditate rerum facilis voluptate quis magni.,2,556
Ut culpa rerum et ex.,0,296
Accusamus minima omnis tempore in molestias.,1,686
Sint et aliquam officia.,4,841
Placeat libero deleniti tempora sit sed sit deleniti odio.,1,747
Facilis aperiam nulla eum et quo ipsam qui qui unde.,3,308
Et deserunt voluptatibus.,4,569
Velit quam voluptas sint ex.,1,130
Inventore voluptates ex at eum dolores architecto laboriosam.,5,839
Placeat est sed aperiam vero ratione dicta.,0,710
Dolorem eos aut et deleniti.,3,113
Impedit reprehenderit ratione aperiam et cumque impedit velit voluptatem et.,3,254
Sed ea enim animi iste atque enim repudiandae eaque.,5,79
Voluptatum eum excepturi officiis delectus quod optio explicabo enim iste.,5,985
Quos nisi quia magnam libero.,3,526
Est repellat eaque.,1,216
Aut alias deleniti sint porro labore dolorum.,1,39
Molestiae et magnam quasi et.,0,73
Consequatur aperiam impedit.,5,601
Ea necessitatibus qui sint inventore deserunt laborum et.,3,117
Quaerat hic et dolore sapiente.,3,614
Omnis deserunt quibusdam voluptatem illo ea molestiae neque.,4,367
Laudantium vero ratione voluptate deleniti accusamus atque.,4,47
Et sunt sit omnis hic velit rerum rerum quaerat dolores.,3,417
Nemo exercitationem eligendi impedit recusandae animi amet incidunt optio non.,3,619
Reiciendis nisi consequatur omnis omnis rerum mollitia.,1,242
Odit esse optio facere dignissimos est repellendus consequatur.,1,457
Esse aspernatur non ut.,3,685
Quod dolor quis consequatur dolorum natus voluptate.,0,860
